2024-03-26 16:37:48,361 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 2C7E7BE8-D5AB-1F34-3582-913588F90853
2024-03-26 16:39:06,909 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:42:f5:78:8d:49
2024-03-26 16:39:10,229 | MainThread   | [INFO    ] | _connect            |: Connected to c0:42:f5:78:8d:49
2024-03-26 16:40:02,085 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 2C7E7BE8-D5AB-1F34-3582-913588F90853
2024-03-26 16:40:40,692 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:42:f5:78:8d:49
2024-03-26 16:40:43,395 | MainThread   | [INFO    ] | _connect            |: Connected to c0:42:f5:78:8d:49
2024-03-26 16:43:46,726 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 2C7E7BE8-D5AB-1F34-3582-913588F90853
2024-03-27 14:03:15,946 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2024-03-27 14:03:15,949 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2024-03-27 14:03:15,950 | MainThread   | [WARNING ] | exit_handler        |: Not connected to a BLE device
2024-03-27 16:32:15,619 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=9, micro=0, releaselevel='final', serial=0)
2024-03-27 16:32:15,620 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-10.16-x86_64-i386-64bit
2024-03-27 16:32:15,620 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:42:f5:78:8d:49
2024-03-27 16:32:18,492 | MainThread   | [INFO    ] | _connect            |: Connected to c0:42:f5:78:8d:49
